Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.9099999999999999,0.61,0.5393745047991115
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5745095933366384
75% Corpus,8,0.9099999999999999,symmetric,0.44385571668751744
75% Corpus,8,symmetric,0.01,0.4733418120936777
75% Corpus,8,symmetric,0.31,0.4070605571152566
75% Corpus,8,symmetric,0.61,0.4056906913548973
75% Corpus,8,symmetric,0.9099999999999999,0.4309998067610131
75% Corpus,8,symmetric,symmetric,0.4681831821864574
75% Corpus,8,asymmetric,0.01,0.4204873922872673
75% Corpus,8,asymmetric,0.31,0.5690543605892203
75% Corpus,8,asymmetric,0.61,0.5307671230717549
75% Corpus,8,asymmetric,0.9099999999999999,0.514006269357316
75% Corpus,8,asymmetric,symmetric,0.4567725141893305
75% Corpus,9,0.01,0.01,0.42844122040935545
75% Corpus,9,0.01,0.31,0.4383548728539393
75% Corpus,9,0.01,0.61,0.46994259579248815
75% Corpus,9,0.01,0.9099999999999999,0.4455375168999458
75% Corpus,9,0.01,symmetric,0.42820771272093777
75% Corpus,9,0.31,0.01,0.45416702566461786
75% Corpus,9,0.31,0.31,0.45706566204401966
75% Corpus,9,0.31,0.61,0.4880413657939067
75% Corpus,9,0.31,0.9099999999999999,0.5504345854796201
75% Corpus,9,0.31,symmetric,0.4512827634348425
75% Corpus,9,0.61,0.01,0.44530536064916515
75% Corpus,9,0.61,0.31,0.39509615821794514
75% Corpus,9,0.61,0.61,0.4796606180859575
75% Corpus,9,0.61,0.9099999999999999,0.6202769215314721
75% Corpus,9,0.61,symmetric,0.4392440658135504
75% Corpus,9,0.9099999999999999,0.01,0.40914772651462133
75% Corpus,9,0.9099999999999999,0.31,0.385658370781628
75% Corpus,9,0.9099999999999999,0.61,0.5520251217256598
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4903358098979785
75% Corpus,9,0.9099999999999999,symmetric,0.4021506703550664
75% Corpus,9,symmetric,0.01,0.4272673322931913
75% Corpus,9,symmetric,0.31,0.40566675908897687
75% Corpus,9,symmetric,0.61,0.44044208396838
75% Corpus,9,symmetric,0.9099999999999999,0.5076222089731282
75% Corpus,9,symmetric,symmetric,0.4492647285576676
75% Corpus,9,asymmetric,0.01,0.4952283337205016
75% Corpus,9,asymmetric,0.31,0.5933091928962213
75% Corpus,9,asymmetric,0.61,0.6116771413834221
75% Corpus,9,asymmetric,0.9099999999999999,0.6247583896818946
75% Corpus,9,asymmetric,symmetric,0.44875891982635746
75% Corpus,10,0.01,0.01,0.45012687270355445
75% Corpus,10,0.01,0.31,0.41405660489805757
75% Corpus,10,0.01,0.61,0.44485431047677215
75% Corpus,10,0.01,0.9099999999999999,0.45008417968303327
75% Corpus,10,0.01,symmetric,0.399393454725005
75% Corpus,10,0.31,0.01,0.4446989479404482
75% Corpus,10,0.31,0.31,0.4794646575481979
75% Corpus,10,0.31,0.61,0.5421990605785311
75% Corpus,10,0.31,0.9099999999999999,0.4323491089168323
75% Corpus,10,0.31,symmetric,0.4328905771805795
75% Corpus,10,0.61,0.01,0.4258054269722943
75% Corpus,10,0.61,0.31,0.40822174178040643
75% Corpus,10,0.61,0.61,0.5071717764566067
75% Corpus,10,0.61,0.9099999999999999,0.5818219843062626
75% Corpus,10,0.61,symmetric,0.4239514828106216
75% Corpus,10,0.9099999999999999,0.01,0.3839571411668362
75% Corpus,10,0.9099999999999999,0.31,0.3720303431412059
75% Corpus,10,0.9099999999999999,0.61,0.4396792507455446
